text,category,priority
проходить оплата карта,Оплата,Высокий
платёж отклоняться каждый,Оплата,Высокий
почему мочь оплатить заказ,Оплата,Высокий
оплата проходить помочь,Оплата,Высокий
система писать ошибка платёж,Оплата,Высокий
пытаться оплатить происходить,Оплата,Высокий
карта рабочий оплатить получаться,Оплата,Высокий
платёж зависнуть этап подтверждение,Оплата,Высокий
списаться деньга заказ оформиться,Оплата,Высокий
оплата пройти непонятно,Оплата,Высокий
мочь завершить оплата,Оплата,Высокий
почему платёж отклонна,Оплата,Высокий
ошибка оплата заказ,Оплата,Высокий
сайт принимать оплата,Оплата,Высокий
проходить платёж карта,Оплата,Высокий
оплата зависнуть обработка,Оплата,Высокий
деньга списаться раз,Оплата,Высокий
почему дважды снять деньга,Оплата,Высокий
оплата пройти заказ появиться,Оплата,Высокий
система писать платёж выполнить,Оплата,Высокий
работать оплата карта,Оплата,Высокий
пытаться оплатить третий,Оплата,Высокий
платёж подтверждаться,Оплата,Высокий
почему платёж проходить,Оплата,Высокий
оплата приложение работать,Оплата,Высокий
карта добавить оплатить мочь,Оплата,Высокий
писать операция отклонить банк,Оплата,Высокий
деньга списать заказ подтверждна,Оплата,Высокий
оплата отменяться автоматически,Оплата,Высокий
сервис принимать платёж,Оплата,Высокий
списание пройти заказ оформиться,Оплата,Высокий
мочь оплатить подписка,Оплата,Высокий
ошибка оплата подписка,Оплата,Высокий
платёж отклоняться причина,Оплата,Высокий
оплата зависнуть происходить,Оплата,Высокий
почему оплата постоянно отклоняться,Оплата,Высокий
оплатить система писать оплатить,Оплата,Высокий
делать деньга списаться,Оплата,Высокий
платёж зависнуть минута,Оплата,Высокий
оплата пройти чек пришлый,Оплата,Высокий
платёж,Оплата,Высокий
почему платёж обработать,Оплата,Высокий
оплата apple pay проходить,Оплата,Высокий
почему получаться оплатить,Оплата,Высокий
оплата зависнуть страница банк,Оплата,Высокий
оплата сайт зависнуть,Оплата,Высокий
платёж отображаться заказ,Оплата,Высокий
приходить подтверждение оплата,Оплата,Высокий
оплатить заказ вс ещ ожидать оплата,Оплата,Высокий
оплата фиксироваться система,Оплата,Высокий
мочь оплатить кошёлк,Оплата,Высокий
оплата отклонить,Оплата,Высокий
почему платёж отменна,Оплата,Высокий
проходить оплата карта,Оплата,Высокий
платёж проходить интернет,Оплата,Высокий
оплата подтверждаться,Оплата,Высокий
карта валидный платёж проходить,Оплата,Высокий
деньга списать товар купиться,Оплата,Высокий
происходить оплата,Оплата,Высокий
оплатить измениться,Оплата,Высокий
ошибка обработка платёж,Оплата,Высокий
система писать невозможно выполнить платёж,Оплата,Высокий
платёж приниматься,Оплата,Высокий
оплата зависнуть шаг подтверждение,Оплата,Высокий
почему работать оплата,Оплата,Высокий
оплата заказ проходить,Оплата,Высокий
платёж отклоняться сразу,Оплата,Высокий
система дата оплатить,Оплата,Высокий
почему оплатить карта,Оплата,Высокий
оплата постоянно сбрасываться,Оплата,Высокий
платёж зависнуть двигаться далёкий,Оплата,Высокий
списать деньга заказ пустой,Оплата,Высокий
подтверждение оплата,Оплата,Высокий
почему платёж зачислить,Оплата,Высокий
оплата зависнуть ввод карта,Оплата,Высокий
сайт принимать платёж,Оплата,Высокий
получаться оплатить заказ карта,Оплата,Высокий
платёж отмениться,Оплата,Высокий
деньга уйти заказ оформиться,Оплата,Высокий
ошибка транзакция,Оплата,Высокий
оплата зависнуть система,Оплата,Высокий
платёж обрабатываться,Оплата,Высокий
почему проходить платёж карта,Оплата,Высокий
оплатить статус меняться,Оплата,Высокий
оплата сайт работать,Оплата,Высокий
платёж отклонна система безопасность,Оплата,Высокий
проходить онлайноплата,Оплата,Высокий
сервис принимать оплата,Оплата,Высокий
оплата проходить полчаса,Оплата,Высокий
почему деньга списаться дважды,Оплата,Высокий
сайт писать платёж выполнить,Оплата,Высокий
оплата зависнуть подтверждение,Оплата,Высокий
работать кнопка оплата,Оплата,Высокий
платёж отправляться,Оплата,Высокий
почему проходить оплата приложение,Оплата,Высокий
система отклонять мой карта,Оплата,Высокий
оплата проходить исправить,Оплата,Высокий
ошибка оплата,Оплата,Высокий
мочь оплатить заказ,Оплата,Высокий
почему провести платёж,Оплата,Высокий
оплата зависнуть,Оплата,Высокий
платёж проходить снова,Оплата,Высокий
деньга списать заказ появиться,Оплата,Высокий
почему платёж отклонна,Оплата,Высокий
оплата отменяться,Оплата,Высокий
платёж подтверждна,Оплата,Высокий
ошибка оплата карта,Оплата,Высокий
система принимать оплата,Оплата,Высокий
проходить транзакция,Оплата,Высокий
оплата работать,Оплата,Высокий
платёж зависнуть,Оплата,Высокий
почему проходить оплата,Оплата,Высокий
сервис принимать карта,Оплата,Высокий
ошибка платёжный система,Оплата,Высокий
мочь оплатить покупка,Оплата,Высокий
платёж завершн,Оплата,Высокий
оплата приниматься,Оплата,Высокий
проблема оплата,Оплата,Высокий
проходить платёж онлайн,Оплата,Высокий
оплата отклонить банк,Оплата,Высокий
платёж проходить карта,Оплата,Высокий
платёж отклоняться система,Оплата,Высокий
оплата зависнуть обработка,Оплата,Высокий
проходить платёж сайт,Оплата,Высокий
оплата завершаться,Оплата,Высокий
платёж проходить приложение,Оплата,Высокий
система отклонять оплата,Оплата,Высокий
почему проходить платёж,Оплата,Высокий
пытаться оплатить сервис постоянно выдата ошибка,Оплата,Высокий
пожалуйста помочь мочь завершить оплата заказ,Оплата,Высокий
добрый день система принимать мой карта оплата,Оплата,Высокий
здравствуйте деньга списаться заказ оформиться,Оплата,Высокий
проблема оплата проходить несколько попытка подряд,Оплата,Высокий
подсказать почему платёж отклоняться,Оплата,Высокий
пять пробовать оплатить каждый ошибка,Оплата,Высокий
очень странно оплата заказ появиться,Оплата,Высокий
проверить прошлый платёж,Оплата,Высокий
оплатить заказ статус вс ещ ожидать оплата,Оплата,Высокий
почему постоянно ломаться оплата,Оплата,Высокий
это раздражать платёж работать,Оплата,Высокий
снова ошибка оплата сколько,Оплата,Высокий
сайт вообще принимать платёж,Оплата,Высокий
почему деньга списать раз,Оплата,Высокий
серьзный деньга снять заказ оформиться,Оплата,Высокий
происходить ваш система оплата,Оплата,Высокий
мочь оплатить заказ полчаса,Оплата,Высокий
пожалуйста проверить платёж,Оплата,Высокий
добрый вечер оплата проходить приложение,Оплата,Высокий
здравствуйте платёж зависнуть подтверждение,Оплата,Высокий
добрый день подсказать почему проходить оплата,Оплата,Высокий
уточнить статус мой платёж,Оплата,Высокий
оплатить заказ подтверждение прийти,Оплата,Высокий
пытаться оплатить система выдавать ошибка,Оплата,Высокий
подсказать завершить оплата,Оплата,Высокий
мочь оплатить подписка постоянно ошибка,Оплата,Высокий
почему сервис отклонять мой карта,Оплата,Высокий
система писать ошибка платёж делать,Оплата,Высокий
получаться оплатить заказ карта,Оплата,Высокий
оплатить заказ появиться,Оплата,Высокий
почему платёж зачислить,Оплата,Высокий
ошибка оплата подписка,Оплата,Высокий
платёж проходить сайт,Оплата,Высокий
оплата зависнуть ввод карта,Оплата,Высокий
почему система принимать оплата,Оплата,Высокий
платёж подтверждаться,Оплата,Высокий
ошибка обработка транзакция,Оплата,Высокий
деньга снять покупка завершить,Оплата,Высокий
мочь оплатить товар,Оплата,Высокий
платёж отклоняться объяснение,Оплата,Высокий
оплата заказ работать,Оплата,Высокий
платёж проводиться,Оплата,Высокий
ошибка оплата заказ,Оплата,Высокий
проходить платёж,Оплата,Высокий
сервис отклонять оплата,Оплата,Высокий
оплата проходить карта,Оплата,Высокий
платёж зависнуть обработка,Оплата,Высокий
получаться оплатить покупка,Оплата,Высокий
почему проходить платёж онлайн,Оплата,Высокий
ошибка оплата заказ,Оплата,Высокий
оплата завершить система,Оплата,Высокий
проходить платёж приложение,Оплата,Высокий
платёж фиксироваться,Оплата,Высокий
система отменять оплата,Оплата,Высокий
ошибка транзакция оплата,Оплата,Высокий
платёж проходить несколько минута,Оплата,Высокий
оплата зависнуть подтверждение,Оплата,Высокий
сервис принимать платёж,Оплата,Высокий
платёж отображаться заказ,Оплата,Высокий
оплата подтверждаться система,Оплата,Высокий
проходить онлайн оплата,Оплата,Высокий
ошибка списание средство,Оплата,Высокий
платёж отклоняться банк,Оплата,Высокий
оплата заказ зависнуть,Оплата,Высокий
мочь провести платёж,Оплата,Высокий
платёж отменна автоматически,Оплата,Высокий
оплата проходить сайт,Оплата,Высокий
ошибка подтверждение оплата,Оплата,Высокий
система обрабатывать платёж,Оплата,Высокий
оплата заказ приниматься,Оплата,Высокий
платёж завершн система,Оплата,Высокий
ошибка оплата покупка,Оплата,Высокий
проходить оплата товар,Оплата,Высокий
платёж обрабатываться система,Оплата,Высокий
оплата проходить карта банк,Оплата,Высокий
платёж подтверждаться код,Оплата,Высокий
ошибка проведение платёж,Оплата,Высокий
оплата фиксироваться система,Оплата,Высокий
платёж зависнуть отправка,Оплата,Высокий
проходить платёж карта,Оплата,Высокий
оплата заказ отклонить система,Оплата,Высокий
заказ,Доставка,Средний
доставка,Доставка,Средний
посылка сей пора прийти,Доставка,Средний
почему доставка долго,Доставка,Средний
находиться заказ,Доставка,Средний
узнать статус доставка,Доставка,Средний
заказ задерживаться,Доставка,Средний
почему заказ доставить,Доставка,Средний
курьер привезти заказ,Доставка,Средний
доставка опаздывать,Доставка,Средний
посылка гдеть потеряться,Доставка,Средний
ожидать доставка,Доставка,Средний
почему заказ ещ путь,Доставка,Средний
курьер приехать,Доставка,Средний
доставить заказ,Доставка,Средний
почему заказ пришлый вовремя,Доставка,Средний
сколько ещ ждать доставка,Доставка,Средний
посылка задерживаться,Доставка,Средний
доставка перенести предупреждение,Доставка,Средний
доставить заказ,Доставка,Средний
курьер связаться я,Доставка,Средний
заказ пришлый указанный день,Доставка,Средний
почему доставка задерживаться,Доставка,Средний
курьер мой заказ,Доставка,Средний
придт посылка,Доставка,Средний
доставка должный,Доставка,Средний
почему заказ вс ещ,Доставка,Средний
проверить доставка,Доставка,Средний
заказ,Доставка,Средний
почему доставка опаздывать,Доставка,Средний
заказ привезти,Доставка,Средний
курьер приехать сегодня,Доставка,Средний
посылка задерживаться второй день,Доставка,Средний
доставка мой заказ,Доставка,Средний
почему доставка переноситься,Доставка,Средний
пришлый заказ,Доставка,Средний
доставить посылка,Доставка,Средний
почему долго идт доставка,Доставка,Средний
курьер,Доставка,Средний
заказ статус доставка долго,Доставка,Средний
почему доставлять заказ,Доставка,Средний
курьер опаздывать,Доставка,Средний
почему заказ пришлый,Доставка,Средний
доставка задерживаться неделя,Доставка,Средний
курьер,Доставка,Средний
посылка вс ещ путь,Доставка,Средний
ждать доставка,Доставка,Средний
почему заказ застрять доставка,Доставка,Средний
почему доставка выполнить,Доставка,Средний
заказ пришлый вовремя,Доставка,Средний
курьер позвонить,Доставка,Средний
привезти посылка,Доставка,Средний
почему доставка задержаться,Доставка,Средний
заказ пришлый,Доставка,Средний
отслеживание заказ,Доставка,Средний
почему статус доставка меняться,Доставка,Средний
придт заказ,Доставка,Средний
посылка вс ещ доставить,Доставка,Средний
доставка задерживаться объяснение,Доставка,Средний
почему курьер приехать сегодня,Доставка,Средний
доставка,Доставка,Средний
почему заказ доставить сей пора,Доставка,Средний
ожидать курьер,Доставка,Средний
доставка слишком долгий,Доставка,Средний
почему заказ пришлый вчера,Доставка,Средний
посылка доставить,Доставка,Средний
курьер,Доставка,Средний
почему заказ доставить сегодня,Доставка,Средний
ускорить доставка,Доставка,Средний
посылка,Доставка,Средний
почему доставка идт долго,Доставка,Средний
заказ доставить,Доставка,Средний
посылка,Доставка,Средний
почему доставка состояться,Доставка,Средний
курьер приехать,Доставка,Средний
заказ задерживаться доставка,Доставка,Средний
почему заказ приходить,Доставка,Средний
доставка выполнить вовремя,Доставка,Средний
заказ,Доставка,Средний
почему посылка прийти,Доставка,Средний
находиться доставка,Доставка,Средний
курьер задерживаться,Доставка,Средний
почему доставить заказ,Доставка,Средний
ожидать посылка,Доставка,Средний
доставка должный сегодня,Доставка,Средний
почему заказ доставить срок,Доставка,Средний
заказ,Доставка,Средний
почему курьер звонить,Доставка,Средний
доставка сегодня,Доставка,Средний
посылка задержаться,Доставка,Средний
почему доставка такой медленный,Доставка,Средний
заказ вс ещ пришлый,Доставка,Средний
курьер появиться,Доставка,Средний
почему заказ доставлять,Доставка,Средний
пакет,Доставка,Средний
курьер,Доставка,Средний
почему заказ вс ещ путь,Доставка,Средний
почему доставка приходить,Доставка,Средний
посылка,Доставка,Средний
почему заказ доставить сегодня,Доставка,Средний
курьер задержать доставка,Доставка,Средний
приехать заказ,Доставка,Средний
почему доставка состояться сегодня,Доставка,Средний
посылка прийти вовремя,Доставка,Средний
находиться заказ,Доставка,Средний
почему доставка переноситься день,Доставка,Средний
доставка заказ,Доставка,Средний
почему курьер приехать вовремя,Доставка,Средний
посылка задерживаться дорога,Доставка,Средний
придт пакет,Доставка,Средний
почему доставка выполнить,Доставка,Средний
курьер заказ,Доставка,Средний
почему заказ долго доставка,Доставка,Средний
ожидать заказ,Доставка,Средний
посылка вс ещ,Доставка,Средний
почему курьер доставить заказ,Доставка,Средний
товар,Доставка,Средний
доставить товар,Доставка,Средний
почему заказ доставить вчера,Доставка,Средний
посылка задержаться путь,Доставка,Средний
посылка,Доставка,Средний
почему заказ доставить срок,Доставка,Средний
доставка посылка,Доставка,Средний
курьер приехать назначить время,Доставка,Средний
почему заказ вс ещ,Доставка,Средний
ожидать курьер сегодня,Доставка,Средний
почему доставка прийти сегодня,Доставка,Средний
заказ второй день,Доставка,Средний
почему курьер опаздывать,Доставка,Средний
придт курьер,Доставка,Средний
почему доставка задерживаться несколько день,Доставка,Средний
посылка сей пора прийти к,Доставка,Средний
заказ который должный прийти вчера,Доставка,Средний
почему статус доставка обновляться,Доставка,Средний
точно доставка,Доставка,Средний
почему курьер приехать предупредить,Доставка,Средний
ждать заказ вс,Доставка,Средний
заказ объяснить пожалуйста,Доставка,Средний
почему заказ задержаться доставка,Доставка,Средний
курьер приехать мой заказ,Доставка,Средний
почему доставка постоянно переноситься,Доставка,Средний
находиться заказ данный момент,Доставка,Средний
почему заказ вс ещ доставить,Доставка,Средний
доставить мой посылка,Доставка,Средний
почему заказ ехать долго,Доставка,Средний
заказ который оформить несколько день назад,Доставка,Средний
почему курьер приехать сегодня,Доставка,Средний
ожидать доставка мой заказ,Доставка,Средний
почему посылка задерживаться третий день,Доставка,Средний
заказ ждать давно,Доставка,Средний
почему доставка прийти назначить время,Доставка,Средний
привезти заказ который оплатить,Доставка,Средний
почему заказ застрять доставка,Доставка,Средний
находиться посылка,Доставка,Средний
почему доставка идт долгий обещать,Доставка,Средний
курьер мой заказ,Доставка,Средний
почему заказ доставить вчера вечером,Доставка,Средний
посылка уточнить,Доставка,Средний
почему курьер выйти связь,Доставка,Средний
доставить оплатить заказ,Доставка,Средний
почему заказ сей пора,Доставка,Средний
заказ который должный прийти сегодня,Доставка,Средний
почему доставка задерживаться причина,Доставка,Средний
привезти посылка,Доставка,Средний
почему заказ вс ещ доставить,Доставка,Средний
пакет который отправить,Доставка,Средний
почему доставка задержаться несколько день,Доставка,Средний
доставка мой товар,Доставка,Средний
почему курьер приехать назначить время,Доставка,Средний
заказ который оформить неделя назад,Доставка,Средний
почему посылка вс ещ доставить,Доставка,Средний
ожидать доставка мой заказ сегодня,Доставка,Средний
почему доставка прийти вовремя,Доставка,Средний
заказ подсказать пожалуйста,Доставка,Средний
почему заказ пришлый срок,Доставка,Средний
курьер приехать,Доставка,Средний
почему доставка мой заказ задерживаться,Доставка,Средний
находиться посылка,Доставка,Средний
почему курьер доставить заказ сегодня,Доставка,Средний
доставить заказ,Доставка,Средний
почему заказ вс ещ пришлый к,Доставка,Средний
заказ который должный прийти вчера,Доставка,Средний
почему доставка состояться,Доставка,Средний
привезти заказ домой,Доставка,Средний
почему посылка задержаться дорога,Доставка,Средний
заказ доставка,Доставка,Средний
почему заказ доставить вовремя,Доставка,Средний
ожидать доставка товар,Доставка,Средний
сайт работать,Техническая ошибка,Высокий
программа вылетать,Техническая ошибка,Высокий
ошибка запуск приложение,Техническая ошибка,Высокий
мочь войти аккаунт,Техническая ошибка,Высокий
система выдавать ошибка,Техническая ошибка,Высокий
ошибка,Техническая ошибка,Высокий
приложение зависнуть,Техническая ошибка,Высокий
удаваться загрузить страница,Техническая ошибка,Высокий
вс зависнуть,Техническая ошибка,Высокий
ошибка сохранение данные,Техническая ошибка,Высокий
мочь отправить форма,Техническая ошибка,Высокий
ошибка оплата,Техническая ошибка,Высокий
программа реагировать,Техническая ошибка,Высокий
загружаться сайт,Техническая ошибка,Высокий
сбой работа приложение,Техническая ошибка,Высокий
ошибка соединение,Техническая ошибка,Высокий
работать кнопка,Техническая ошибка,Высокий
удаваться войти,Техническая ошибка,Высокий
ошибка сервер,Техническая ошибка,Высокий
приложение закрываться сам,Техническая ошибка,Высокий
страница открываться,Техническая ошибка,Высокий
ошибка регистрация,Техническая ошибка,Высокий
мочь войти сайт,Техническая ошибка,Высокий
программа падать,Техническая ошибка,Высокий
ошибка обновление,Техническая ошибка,Высокий
сайт отображаться корректно,Техническая ошибка,Высокий
приложение выдавать белый экран,Техническая ошибка,Высокий
ошибка загрузка файл,Техническая ошибка,Высокий
работать поиск,Техническая ошибка,Высокий
сбой авторизация,Техническая ошибка,Высокий
ошибка база данные,Техническая ошибка,Высокий
программа тормозить,Техническая ошибка,Высокий
ошибка загрузка контент,Техническая ошибка,Высокий
приложение зависнуть полностью,Техническая ошибка,Высокий
сайт тормозить,Техническая ошибка,Высокий
удаваться открыть файл,Техническая ошибка,Высокий
ошибка синхронизация,Техническая ошибка,Высокий
работать меню,Техническая ошибка,Высокий
программа вылететь старт,Техническая ошибка,Высокий
ошибка обработка данные,Техническая ошибка,Высокий
удаваться зайти,Техническая ошибка,Высокий
сайт отвечать,Техническая ошибка,Высокий
ошибка регистрация пользователь,Техническая ошибка,Высокий
приложение загружаться,Техническая ошибка,Высокий
работать кнопка отправить,Техническая ошибка,Высокий
ошибка соединение сервер,Техническая ошибка,Высокий
программа закрываться сам,Техническая ошибка,Высокий
сайт зависнуть,Техническая ошибка,Высокий
ошибка оплата услуга,Техническая ошибка,Высокий
удаваться скачать файл,Техническая ошибка,Высокий
приложение сохранять дать,Техническая ошибка,Высокий
ошибка авторизация,Техническая ошибка,Высокий
работать поиск сайт,Техническая ошибка,Высокий
сбой загрузка страница,Техническая ошибка,Высокий
ошибка отправка форма,Техническая ошибка,Высокий
программа тормозить сильно,Техническая ошибка,Высокий
сайт выдавать ошибка,Техническая ошибка,Высокий
удаваться войти система,Техническая ошибка,Высокий
ошибка загрузка изображение,Техническая ошибка,Высокий
приложение зависнуть запуск,Техническая ошибка,Высокий
ошибка регистрация email,Техническая ошибка,Высокий
работать вход соцсеть,Техническая ошибка,Высокий
сбой авторизация,Техническая ошибка,Высокий
ошибка загрузка видео,Техническая ошибка,Высокий
приложение реагировать,Техническая ошибка,Высокий
приложение вылетать работа,Техническая ошибка,Высокий
ошибка синхронизация данные,Техническая ошибка,Высокий
сайт открываться браузер,Техническая ошибка,Высокий
удаваться отправить файл,Техническая ошибка,Высокий
ошибка регистрация аккаунт,Техническая ошибка,Высокий
программа сохранять изменение,Техническая ошибка,Высокий
сбой загрузка контент,Техническая ошибка,Высокий
ошибка соединение база данные,Техническая ошибка,Высокий
работать функция загрузить,Техническая ошибка,Высокий
приложение закрываться внезапно,Техническая ошибка,Высокий
сайт реагировать,Техническая ошибка,Высокий
ошибка обновление приложение,Техническая ошибка,Высокий
удаваться войти личный кабинет,Техническая ошибка,Высокий
ошибка загрузка страница профиль,Техническая ошибка,Высокий
программа зависнуть старт,Техническая ошибка,Высокий
сбой подключение сервер,Техническая ошибка,Высокий
ошибка авторизация пользователь,Техническая ошибка,Высокий
работать кнопка оплатить,Техническая ошибка,Высокий
приложение тормозить,Техническая ошибка,Высокий
сайт выдата ошибка,Техническая ошибка,Высокий
удаваться создать аккаунт,Техническая ошибка,Высокий
ошибка загрузка документ,Техническая ошибка,Высокий
программа запускаться,Техническая ошибка,Высокий
сбой сохранение данные,Техническая ошибка,Высокий
ошибка отправка email,Техническая ошибка,Высокий
работать поиск приложение,Техническая ошибка,Высокий
приложение зависнуть,Техническая ошибка,Высокий
сайт открывать страница,Техническая ошибка,Высокий
ошибка загрузка файл сервер,Техническая ошибка,Высокий
